80,-73
12882220,96,-89
12882221,6,-92
12882222,6,-82
12882223,6,-78
12882224,6,-85
12882225,80,-74
12882226,80,-87
12882227,80,-85
12882228,80,-82
12882229,80,-95
12882230,39,-83
12882231,39,-83
12882232,80,-93
12882233,80,-99
12882234,6,-75
12882235,6,-88
12882236,6,-77
12882237,6,-97
12882238,80,-73
12882239,80,-82
12882240,80,-101
12882241,15,-86
12882242,15,-88
12882243,15,-66
12882244,39,-77
12882245,39,-86
12882246,39,-83
12882247,39,-86
12882248,39,-78
12882249,39,-87
12882250,96,-93
12882251,6,-71
12882252,80,-82
12882253,80,-88
12882254,80,-90
12882255,80,-70
12882256,80,-67
12882257,80,-71
12882258,80,-80
12882259,80,-82
12882260,80,-93
12882261,15,-67
12882262,15,-74
12882263,39,-80
12882264,39,-88
12882265,39,-85
12882266,39,-76
12882267,39,-84
12882268,96,-68
12882269,96,-98
12882270,6,-81
12882271,6,-72
12882272,6,-77
12882273,80,-81
12882274,80,-83
12882275,80,-84
12882276,80,-91
12882277,80,-87
12882278,80,-83
12882279,15,-75
12882280,15,-97
12882281,80,-84
12882282,15,-81
12882283,39,-77
12882284,39,-81
12882285,39,-88
12882286,39,-87
12882287,39,-95
12882288,96,-81
12882289,6,-72
12882290,6,-82
12882291,6,-87
12882292,80,-68
12882293,80,-74
12882294,80,-75
12882295,80,-79
12882296,80,-88
12882297,80,-84
12882298,80,-84
12882299,15,-88
12882300,15,-83
12882301,39,-84
12882302,39,-70
12882303,96,-97
12882304,6,-89
12882305,6,-85
12882306,6,-73
12882307,80,-84
12882308,80,-77
12882309,80,-88
12882310,80,-97
12882311,15,-86
12882312,15,-78
12882313,39,-74
12882314,39,-92
12882315,39,-85
12882316,39,-76
12882317,39,-91
12882318,96,-86
12882319,96,-91
12882320,6,-85
12882321,6,-83
12882322,6,-73
12882323,6,-70
12882324,80,-80
12882325,80,-77
12882326,80,-81
12882327,80,-86
12882328,80,-87
12882329,80,-92
12882330,80,-102
12882331,15,-77
12882332,15,-69
12882333,39,-72
12882334,39,-85
12882335,39,-87
12882336,39,-94
12882337,39,-88
12882338,96,-77
12882339,6,-82
12882340,6,-82
12882341,6,-78
12882342,6,-99
12882343,6,-100
12882344,80,-81
12882345,80,-88
12882346,15,-72
12882347,15,-79
12882348,39,-87
12882349,39,-84
12882350,39,-92
12882351,96,-96
12882352,6,-79
12882353,6,-89
12882354,6,-88
12882355,80,-87
12882356,80,-65
12882357,80,-91
12882358,80,-81
12882359,80,-76
12882360,15,-67
12882361,80,-90
12882362,15,-84
12882363,96,-103
12882364,80,-99
12882365,80,-75
12882366,15,-70
12882367,15,-68
12882368,39,-73
12882369,39,-85
12882370,39,-95
12882371,39,-78
12882372,39,-82
12882373,6,-74
12882374,6,-85
12882375,6,-79
12882376,80,-93
12882377,80,-86
12882378,80,-81
12882379,15,-88
12882380,6,-86
12882381,80,-75
12882382,80,-90
12882383,80,-95
12882384,15,-67
12882385,80,-85
12882386,15,-86
12882387,39,-95
12882388,39,-80
12882389,39,-83
12882390,39,-79
12882391,96,-96
12882392,96,-85
12882393,6,-75
12882394,6,-83
12882395,6,-91
12882396,6,-74
12882397,80,-72
12882398,80,-83
12882399,80,-85
12882400,80,-87
12882401,80,-88
12882402,80,-85
12882403,15,-80
12882404,39,-81
12882405,39,-93
12882406,96,-93
12882407,6,-85
12882408,6,-87
12882409,80,-73
12882410,15,-66
12882411,15,-86
12882412,39,-92
12882413,39,-100
12882414,39,-81
12882415,39,-88
12882416,96,-80
12882417,6,-68
12882418,80,-82
12882419,80,-72
12882420,80,-80
12882421,80,-96
12882422,80,-85
12882423,15,-79
12882424,15,-65
12882425,39,-91
12882426,39,-80
12882427,39,-73
12882428,96,-90
12882429,6,-78
12882430,6,-99
12882431,6,-85
12882432,80,-94
12882433,80,-80
12882434,80,-72
12882435,80,-88
12882436,15,-66
12882437,15,-91
12882438,39,-85
12882439,39,-79
