,-69
12985637,80,-86
12985638,80,-86
12985639,15,-76
12985640,15,-65
12985641,15,-88
12985642,43,-95
12985643,43,-71
12985644,43,-71
12985645,80,-72
12985646,80,-86
12985647,15,-82
12985648,15,-81
12985649,43,-71
12985650,43,-84
12985651,43,-88
12985652,43,-87
12985653,80,-99
12985654,80,-81
12985655,80,-90
12985656,80,-74
12985657,15,-87
12985658,15,-94
12985659,15,-63
12985660,43,-98
12985661,43,-73
12985662,43,-102
12985663,43,-70
12985664,80,-77
12985665,15,-78
12985666,43,-89
12985667,43,-98
12985668,43,-87
12985669,43,-69
12985670,80,-90
12985671,15,-84
12985672,15,-81
12985673,15,-98
12985674,43,-84
12985675,43,-89
12985676,43,-69
12985677,80,-97
12985678,15,-82
12985679,15,-69
12985680,43,-86
12985681,43,-76
12985682,43,-70
12985683,43,-74
12985684,80,-82
12985685,80,-82
12985686,80,-84
12985687,15,-78
12985688,43,-72
12985689,43,-68
12985690,80,-77
12985691,80,-86
12985692,15,-65
12985693,15,-79
12985694,15,-84
12985695,43,-87
12985696,43,-74
12985697,43,-87
12985698,43,-94
12985699,43,-80
12985700,80,-89
12985701,15,-67
12985702,15,-78
12985703,43,-87
12985704,43,-91
12985705,43,-86
12985706,43,-69
12985707,80,-83
12985708,15,-63
12985709,15,-99
12985710,15,-95
12985711,80,-89
12985712,43,-80
12985713,43,-90
12985714,43,-74
12985715,43,-86
12985716,80,-83
12985717,80,-95
12985718,15,-67
12985719,43,-75
12985720,43,-93
12985721,43,-84
12985722,80,-96
12985723,80,-96
12985724,80,-90
12985725,80,-86
12985726,15,-95
12985727,15,-88
12985728,15,-78
12985729,43,-75
12985730,43,-95
12985731,43,-86
12985732,43,-71
12985733,43,-89
12985734,80,-93
12985735,15,-79
12985736,43,-78
12985737,43,-75
12985738,43,-76
12985739,43,-69
12985740,80,-86
12985741,80,-97
12985742,15,-97
12985743,15,-62
12985744,15,-64
12985745,43,-85
12985746,43,-93
12985747,43,-86
12985748,80,-83
12985749,15,-67
12985750,15,-68
12985751,43,-84
12985752,80,-94
12985753,80,-98
12985754,80,-96
12985755,15,-63
12985756,15,-64
12985757,15,-97
12985758,43,-66
12985759,43,-69
12985760,43,-75
12985761,43,-84
12985762,43,-85
12985763,15,-82
12985764,15,-81
12985765,43,-92
12985766,43,-85
12985767,43,-86
12985768,80,-81
12985769,15,-64
12985770,15,-64
12985771,43,-77
12985772,43,-86
12985773,43,-81
12985774,80,-92
12985775,15,-94
12985776,15,-81
12985777,43,-81
12985778,43,-87
12985779,43,-87
12985780,43,-97
12985781,43,-79
12985782,80,-99
12985783,15,-67
12985784,15,-64
12985785,43,-73
12985786,43,-65
12985787,43,-77
12985788,43,-80
12985789,80,-86
12985790,80,-92
12985791,15,-78
12985792,15,-81
12985793,15,-95
12985794,43,-75
12985795,80,-84
12985796,15,-78
12985797,15,-78
12985798,43,-95
12985799,43,-94
12985800,43,-86
12985801,43,-81
12985802,80,-86
12985803,80,-87
12985804,15,-84
12985805,15,-78
12985806,43,-78
12985807,43,-68
12985808,43,-76
12985809,80,-97
12985810,80,-99
12985811,15,-65
12985812,15,-64
12985813,43,-83
12985814,43,-92
12985815,43,-69
12985816,43,-88
12985817,43,-74
12985818,80,-85
12985819,80,-98
12985820,15,-84
12985821,15,-89
12985822,43,-80
12985823,43,-77
12985824,43,-71
12985825,80,-79
12985826,80,-80
12985827,15,-78
12985828,15,-82
12985829,43,-80
12985830,43,-82
12985831,43,-85
12985832,43,-84
12985833,43,-69
12985834,43,-85
12985835,80,-85
12985836,80,-83
12985837,15,-85
12985838,15,-63
12985839,43,-83
12985840,43,-89
12985841,43,-79
12985842,80,-93
12985843,15,-68
12985844,15,-66
12985845,43,-72
12985846,43,-88
12985847,43,-69
12985848,43,-75
12985849,43,-85
12985850,80,-85
12985851,80,-94
12985852,15,-84
12985853,15,-86
12985854,15,-76
12985855,15,-81
12985856,43,-79
12985857,43,-98
12985858,43,-81
12985859,43,-87
12985860,80,-80
12985861,80,-86
12985862,15,-66
12985863,15,-64
12985864,43,-72
12985865,43,-73
12985866,15,-66
12985867,15,-88
12985868,15,-83
12985869,43,-95
12985870,43,-78
12985871,43,-82
12985872,43,-87
12985873,80,-85
12985874,80,-87
12985875,15,-71
12985876,15,-81
12985877,80,-76
12985878,80,-89
12985879,15,-85
12985880,15,-86
12985881,15,-95
12985882,15,-62
12985883,43,-82
12985884,43,-84
12985885,43,-69
