,39,-76
12917408,6,-79
12917409,6,-70
12917410,80,-65
12917411,80,-72
12917412,80,-90
12917413,15,-62
12917414,15,-91
12917415,15,-84
12917416,39,-76
12917417,39,-75
12917418,39,-89
12917419,39,-100
12917420,39,-60
12917421,39,-76
12917422,39,-86
12917423,39,-80
12917424,6,-78
12917425,6,-75
12917426,6,-88
12917427,80,-86
12917428,80,-72
12917429,80,-85
12917430,80,-78
12917431,80,-86
12917432,80,-86
12917433,15,-75
12917434,39,-81
12917435,39,-77
12917436,39,-87
12917437,39,-64
12917438,39,-82
12917439,6,-74
12917440,6,-88
12917441,15,-68
12917442,15,-63
12917443,39,-78
12917444,39,-77
12917445,39,-97
12917446,39,-77
12917447,39,-59
12917448,39,-95
12917449,39,-77
12917450,80,-72
12917451,80,-87
12917452,80,-83
12917453,80,-95
12917454,80,-83
12917455,80,-87
12917456,15,-64
12917457,15,-76
12917458,15,-86
12917459,39,-81
12917460,39,-64
12917461,39,-81
12917462,39,-81
12917463,6,-89
12917464,6,-86
12917465,80,-71
12917466,80,-82
12917467,80,-100
12917468,80,-85
12917469,80,-80
12917470,15,-82
12917471,39,-79
12917472,39,-59
12917473,39,-89
12917474,6,-98
12917475,6,-71
12917476,6,-72
12917477,6,-89
12917478,80,-86
12917479,80,-101
12917480,80,-93
12917481,15,-68
12917482,15,-94
12917483,39,-84
12917484,39,-78
12917485,6,-79
12917486,6,-87
12917487,6,-87
12917488,6,-76
12917489,80,-74
12917490,80,-84
12917491,80,-90
12917492,15,-66
12917493,15,-75
12917494,39,-62
12917495,39,-87
12917496,39,-75
12917497,6,-88
12917498,6,-85
12917499,6,-80
12917500,6,-91
12917501,80,-82
12917502,80,-83
12917503,80,-83
12917504,80,-86
12917505,15,-68
12917506,15,-98
12917507,15,-80
12917508,80,-97
12917509,39,-59
12917510,39,-71
12917511,39,-91
12917512,39,-83
12917513,39,-104
12917514,39,-85
12917515,6,-76
12917516,6,-90
12917517,80,-79
12917518,80,-80
12917519,80,-87
12917520,80,-94
12917521,80,-88
12917522,15,-77
12917523,15,-84
12917524,39,-80
12917525,39,-63
12917526,39,-87
12917527,39,-78
12917528,39,-98
12917529,39,-63
12917530,39,-92
12917531,6,-80
12917532,6,-88
12917533,80,-74
12917534,80,-78
12917535,80,-77
12917536,80,-92
12917537,80,-90
12917538,15,-81
12917539,15,-68
12917540,39,-71
12917541,39,-59
12917542,6,-72
12917543,6,-69
12917544,80,-74
12917545,80,-84
12917546,80,-82
12917547,80,-87
12917548,15,-71
12917549,39,-63
12917550,39,-97
12917551,39,-66
12917552,6,-73
12917553,80,-83
12917554,80,-77
12917555,80,-90
12917556,80,-88
12917557,80,-79
12917558,15,-78
12917559,15,-81
12917560,39,-84
12917561,39,-95
12917562,39,-74
12917563,39,-72
12917564,6,-71
12917565,6,-77
12917566,80,-88
12917567,80,-79
12917568,80,-75
12917569,80,-98
12917570,80,-82
12917571,15,-67
12917572,15,-89
12917573,15,-87
12917574,39,-79
12917575,39,-85
12917576,39,-94
12917577,6,-84
12917578,80,-79
12917579,80,-78
12917580,80,-78
12917581,15,-79
12917582,39,-83
12917583,39,-88
12917584,39,-62
12917585,39,-59
12917586,39,-88
12917587,39,-71
12917588,6,-72
12917589,6,-86
12917590,6,-77
12917591,80,-83
12917592,80,-68
12917593,80,-97
12917594,80,-74
12917595,80,-97
12917596,80,-86
12917597,80,-78
12917598,15,-77
12917599,15,-69
12917600,39,-71
12917601,39,-90
12917602,39,-90
12917603,39,-91
12917604,39,-85
12917605,39,-82
12917606,39,-57
12917607,39,-88
12917608,6,-73
12917609,6,-86
12917610,6,-75
12917611,6,-77
12917612,6,-89
12917613,80,-74
12917614,80,-77
12917615,80,-77
12917616,15,-81
12917617,15,-78
12917618,15,-87
12917619,39,-81
12917620,39,-60
12917621,39,-94
12917622,39,-92
12917623,39,-91
12917624,39,-86
12917625,39,-93
12917626,6,-87
12917627,6,-80
12917628,80,-93
12917629,80,-84
12917630,80,-92
12917631,15,-77
12917632,39,-70
12917633,39,-76
12917634,39,-76
12917635,39,-91
12917636,39,-84
12917637,39,-58
12917638,39,-86
12917639,39,-70
12917640,80,-94
12917641,80,-92
12917642,80,-84
12917643,80,-73
12917644,80,-78
12917645,80,-98
12917646,15,-82
12917647,15,-73
12917648,39,-86
12917649,39,-89
12917650,39,-76
12917651,6,-80
12917652,6,-76
12917653,6,-73
12917654,80,-82
12917655,80,-73
12917656,15,-64
12917657,15,-78
12917658,15,-90
12917659,15,-89
12917660,39,-76
12917661,39,-92
12917662,39,-73
12917663,39,-94
12917664,39,-96
12917665,6,-102
12917666,6,-75
12917667,6,-78
12917668,6,-85
12917669,15,-62
12917670,15,-68
12917671,39,-76
12917672,39,-85
12917673,39,-75
12917674,39,-82
12917675,39,-75
12917676,39,-85
12917677,6,-76
12917678,6,-80
12917679,80,-85
12917680,80,-69
12917681,80,-71
12917682,15,-88
12917683,15,-88
12917684,80,-82
12917685,39,-75
12917686,39,-80
12917687,39,-81
12917688,39,-94
12917689,39,-63
12917690,39,-77
12917691,6,-71
12917692,6,-88
12917693,6,-73
12917694,80,-85
12917695,80,-96
12917696,80,-72
12917697,80,-84
12917698,15,-66
12917699,15,-84
12917700,39,-74
12917701,39,-58
12917702,39,-81
12917703,39,-77
12917704,39,-86
12917705,6,-84
12917706,6,-73
12917707,6,-91
12917708,6,-72
12917709,80,-71
12917710,80,-70
12917711,80,-85
12917712,80,-72
12917713,15,-78
12917714,15,-92
12917715,80,-87
12917716,39,-82
12917717,39,-83
12917718,6,-75
12917719,6,-80
12917720,6,-72
12917721,80,-81
12917722,80,-97
12917723,80,-83
12917724,80,-96
12917725,80,-89
12917726,15,-76
12917727,15,-84
12917728,80,-77
12917729,39,-85
12917730,6,-70
12917731,6,-86
12917732,6,-88
12917733,80,-88
12917734,80,-84
12917735,80,-89
12917736,15,-78
12917737,39,-61
12917738,39,-78
12917739,39,-78
12917740,39,-85
12917741,39,-81
12917742,6,-74
12917743,6,-74
12917744,6,-88
12917745,6,-72
12917746,80,-80
12917747,80,-87
12917748,80,-94
12917749,15,-85
12917750,15,-77
12917751,39,-87
12917752,39,-90
12917753,39,-74
12917754,39,-77
12917755,39,-76
12917756,39,-93
12917757,6,-88
12917758,6,-87
12917759,6,-86
12917760,6,-87
12917761,6,-77
12917762,80,-80
12917763,80,-69
12917764,80,-70
12917765,80,-83
12917766,80,-86
12917767,15,-72
12917768,15,-81
12917769,39,-86
12917770,39,-79
12917771,39,-91
12917772,6,-90
12917773,6,-90
12917774,80,-69
12917775,80,-76
12917776,80,-86
12917777,80,-93
12917778,80,-90
12917779,15,-67
12917780,15,-94
12917781,39,-60
12917782,39,-85
12917783,39,-72
12917784,39,-74
12917785,39,-87
12917786,39,-73
12917787,6,-93
12917788,6,-76
12917789,6,-86
12917790,6,-100
12917791,6,-88
12917792,80,-66
12917793,80,-72
12917794,80,-85
12917795,80,-87
12917796,80,-87
12917797,15,-67
12917798,15,-87
12917799,15,-88
12917800,39,-90
12917801,39,-74
12917802,39,-78
12917803,39,-74
12917804,39,-92
12917805,39,-63
12917806,39,-72
12917807,6,-91
12917808,6,-90
12917809,6,-87
12917810,80,-68
12917811,80,-97
12917812,80,-87
12917813,15,-77
12917814,39,-58
12917815,39,-73
12917816,39,-74
12917817,39,-97
12917818,39,-75
12917819,39,-77
12917820,6,-93
12917821,6,-90
12917822,80,-69
12917823,80,-86
12917824,80,-100
12917825,39,-61
12917826,39,-75
12917827,39,-84
12917828,39,-94
12917829,39,-79
12917830,39,-77
12917831,6,-71
12917832,6,-86
12917833,6,-75
12917834,6,-91
12917835,6,-99
12917836,80,-79
12917837,80,-84
12917838,80,-87
12917839,80,-99
12917840,80,-77
12917841,15,-66
12917842,15,-73
12917843,39,-87
12917844,39,-99
12917845,39,-90
12917846,39,-74
12917847,39,-88
12917848,39,-59
12917849,6,-76
12917850,6,-83
12917851,80,-84
12917852,80,-89
12917853,15,-87
12917854,15,-69
12917855,39,-86
12917856,39,-78
12917857,39,-92
12917858,39,-94
12917859,39,-76
12917860,39,-79
12917861,6,-80
12917862,6,-71
12917863,6,-72
12917864,80,-81
12917865,80,-82
12917866,15,-77
12917867,15,-64
12917868,39,-88
12917869,39,-75
12917870,39,-75
12917871,39,-75
12917872,39,-91
12917873,39,-61
12917874,6,-92
12917875,6,-82
12917876,80,-83
12917877,80,-79
12917878,80,-82
12917879,80,-85
12917880,80,-97
12917881,15,-75
12917882,15,-80
12917883,39,-78
12917884,39,-93
12917885,39,-93
12917886,39,-73
12917887,39,-69
12917888,6,-87
12917889,6,-73
12917890,6,-94
12917891,80,-71
12917892,80,-74
12917893,80,-64
12917894,80,-67
12917895,80,-77
12917896,15,-78
12917897,15,-94
12917898,39,-88
12917899,39,-79
12917900,39,-76
12917901,39,-90
12917902,39,-67
12917903,6,-88
12917904,6,-85
12917905,6,-92
12917906,80,-87
12917907,80,-81
12917908,80,-83
12917909,80,-77
12917910,80,-89
12917911,15,-81
12917912,15,-75
12917913,39,-95
12917914,39,-66
12917915,39,-81
12917916,39,-69
12917917,39,-75
12917918,39,-90
12917919,39,-59
12917920,6,-86
12917921,6,-69
12917922,6,-92
12917923,80,-93
12917924,80,-89
12917925,80,-69
12917926,15,-67
12917927,15,-76
12917928,80,-96
12917929,80,-87
12917930,39,-85
12917931,39,-83
12917932,39,-62
12917933,39,-92
12917934,39,-78
12917935,6,-88
12917936,80,-85
12917937,80,-88
12917938,80,-91
12917939,15,-80
12917940,15,-75
12917941,39,-74
12917942,39,-96
12917943,39,-80
12917944,39,-81
12917945,39,-88
12917946,39,-76
12917947,39,-99
12917948,39,-85
12917949,6,-76
12917950,6,-75
12917951,6,-87
12917952,80,-85
12917953,80,-93
12917954,15,-93
12917955,15,-79
12917956,39,-83
12917957,39,-93
12917958,6,-87
12917959,6,-76
12917960,6,-76
12917961,80,-69
12917962,80,-94
12917963,80,-87
12917964,80,-90
12917965,39,-75
12917966,39,-101
12917967,39,-98
12917968,6,-72
12917969,6,-74
12917970,6,-73
12917971,80,-82
12917972,80,-81
12917973,80,-73
12917974,15,-67
12917975,39,-93
12917976,39,-90
12917977,39,-79
12917978,39,-63
12917979,39,-90
12917980,39,-83
12917981,6,-77
12917982,80,-61
12917983,80,-92
12917984,80,-75
12917985,80,-95
12917986,15,-62
12917987,15,-69
12917988,39,-76
12917989,39,-75
12917990,39,-80
12917991,39,-80
12917992,39,-85
12917993,39,-75
12917994,80,-86
12917995,6,-71
12917996,6,-71
12917997,6,-82
12917998,80,-88
12917999,15,-66
12918000,15,-88
12918001,39,-89
12918002,39,-79
12918003,6,-92
12918004,6,-74
12918005,6,-82
