6,-87
12940283,6,-92
12940284,6,-84
12940285,6,-99
12940286,6,-84
12940287,80,-95
12940288,80,-94
12940289,80,-85
12940290,80,-76
12940291,6,-90
12940292,80,-89
12940293,15,-72
12940294,15,-73
12940295,6,-76
12940296,6,-82
12940297,80,-73
12940298,80,-71
12940299,6,-92
12940300,80,-90
12940301,80,-85
12940302,6,-84
12940303,80,-88
12940304,15,-85
12940305,15,-66
12940306,15,-67
12940307,6,-77
12940308,80,-90
12940309,80,-80
12940310,6,-72
12940311,80,-81
12940312,80,-88
12940313,80,-92
12940314,80,-75
12940315,15,-83
12940316,15,-85
12940317,6,-81
12940318,6,-90
12940319,6,-91
12940320,6,-80
12940321,6,-92
12940322,80,-59
12940323,80,-77
12940324,80,-81
12940325,80,-74
12940326,6,-77
12940327,15,-62
12940328,15,-82
12940329,6,-95
12940330,6,-80
12940331,6,-90
12940332,80,-79
12940333,80,-73
12940334,80,-83
12940335,80,-93
12940336,80,-70
12940337,6,-74
12940338,80,-92
12940339,15,-70
12940340,15,-73
12940341,6,-76
12940342,6,-86
12940343,6,-86
12940344,80,-85
12940345,80,-83
12940346,80,-66
12940347,80,-84
12940348,80,-74
12940349,80,-85
12940350,15,-70
12940351,15,-76
12940352,6,-88
12940353,6,-74
12940354,80,-63
12940355,80,-75
12940356,80,-84
12940357,80,-98
12940358,6,-89
12940359,6,-75
12940360,15,-73
12940361,15,-86
12940362,6,-77
12940363,6,-79
12940364,6,-81
12940365,6,-84
12940366,80,-68
12940367,80,-86
12940368,80,-95
12940369,80,-71
12940370,15,-70
12940371,15,-62
12940372,80,-86
12940373,6,-78
12940374,80,-75
12940375,80,-98
12940376,80,-76
12940377,80,-85
12940378,80,-82
12940379,80,-85
12940380,80,-94
12940381,80,-92
12940382,80,-78
12940383,15,-85
12940384,80,-63
12940385,80,-67
12940386,80,-77
12940387,6,-83
12940388,15,-62
12940389,15,-85
12940390,6,-79
12940391,6,-79
12940392,80,-89
12940393,80,-91
12940394,80,-85
12940395,80,-74
12940396,80,-77
12940397,15,-86
12940398,15,-79
12940399,6,-92
12940400,6,-84
12940401,6,-99
12940402,6,-77
12940403,6,-82
12940404,80,-82
12940405,80,-75
12940406,80,-77
12940407,80,-82
12940408,80,-67
12940409,80,-74
12940410,80,-85
12940411,15,-70
12940412,15,-62
12940413,6,-94
12940414,80,-96
12940415,80,-77
12940416,80,-88
12940417,6,-74
12940418,80,-71
12940419,80,-76
12940420,80,-80
12940421,80,-74
12940422,15,-84
12940423,6,-95
12940424,6,-80
12940425,6,-87
12940426,80,-74
12940427,80,-75
12940428,80,-75
12940429,80,-75
12940430,15,-87
12940431,15,-70
12940432,6,-79
12940433,6,-76
12940434,80,-71
12940435,80,-65
12940436,80,-93
12940437,80,-69
12940438,80,-79
12940439,80,-81
12940440,15,-72
12940441,15,-77
12940442,15,-84
12940443,6,-88
12940444,6,-72
12940445,6,-95
12940446,80,-69
12940447,80,-78
12940448,80,-72
12940449,80,-86
12940450,80,-90
12940451,15,-85
12940452,15,-86
12940453,80,-78
12940454,80,-61
12940455,80,-94
12940456,80,-88
12940457,6,-91
12940458,6,-95
12940459,15,-82
12940460,15,-77
12940461,15,-80
12940462,6,-80
12940463,6,-81
12940464,6,-78
12940465,6,-89
12940466,80,-80
12940467,80,-84
12940468,80,-68
12940469,80,-93
12940470,80,-81
12940471,80,-75
12940472,15,-86
12940473,15,-72
12940474,6,-74
12940475,6,-79
12940476,6,-81
12940477,80,-73
12940478,80,-77
12940479,80,-75
12940480,15,-72
12940481,15,-85
12940482,15,-62
12940483,6,-82
12940484,6,-80
12940485,6,-86
12940486,6,-87
12940487,80,-67
12940488,80,-92
12940489,80,-92
12940490,6,-78
12940491,80,-84
12940492,80,-94
12940493,80,-74
12940494,80,-89
12940495,80,-91
12940496,6,-90
12940497,15,-86
12940498,15,-86
12940499,80,-85
12940500,6,-77
12940501,6,-99
12940502,6,-72
12940503,80,-71
12940504,80,-85
12940505,80,-62
12940506,80,-79
12940507,15,-94
12940508,15,-77
12940509,15,-81
12940510,80,-86
12940511,6,-91
12940512,6,-89
12940513,80,-86
12940514,6,-80
12940515,6,-80
12940516,6,-93
12940517,6,-83
12940518,6,-88
12940519,6,-80
12940520,80,-94
12940521,80,-83
12940522,80,-89
12940523,15,-85
12940524,15,-87
12940525,6,-85
12940526,6,-79
12940527,6,-90
12940528,80,-84
12940529,80,-96
12940530,6,-77
12940531,80,-93
12940532,15,-77
12940533,15,-82
12940534,6,-76
12940535,6,-96
12940536,6,-90
12940537,80,-71
12940538,80,-76
12940539,80,-89
12940540,80,-96
12940541,80,-98
12940542,80,-79
12940543,80,-72
12940544,15,-69
12940545,6,-87
12940546,15,-85
12940547,6,-93
12940548,6,-82
12940549,6,-94
12940550,80,-83
12940551,80,-69
12940552,80,-85
12940553,6,-92
12940554,80,-74
12940555,80,-85
12940556,15,-68
12940557,6,-83
12940558,6,-86
12940559,6,-89
12940560,6,-90
12940561,80,-81
12940562,80,-74
12940563,80,-82
12940564,80,-79
12940565,80,-86
12940566,80,-83
12940567,80,-89
12940568,15,-74
12940569,15,-85
12940570,6,-81
12940571,6,-81
12940572,6,-79
12940573,80,-85
12940574,80,-82
12940575,80,-78
12940576,15,-63
12940577,6,-75
12940578,6,-87
12940579,6,-89
12940580,80,-83
12940581,80,-82
12940582,80,-90
12940583,80,-90
12940584,80,-65
12940585,15,-98
12940586,15,-97
12940587,6,-68
12940588,6,-88
12940589,6,-85
12940590,6,-81
12940591,6,-79
12940592,80,-87
12940593,15,-62
12940594,6,-87
12940595,80,-82
12940596,80,-95
12940597,80,-72
12940598,80,-82
12940599,80,-70
12940600,80,-88
12940601,15,-66
12940602,15,-98
12940603,6,-88
12940604,6,-98
12940605,6,-89
12940606,6,-81
12940607,80,-74
12940608,6,-71
12940609,80,-84
12940610,80,-92
12940611,80,-83
12940612,6,-73
12940613,80,-80
12940614,15,-72
12940615,15,-70
12940616,6,-79
12940617,6,-76
12940618,80,-66
12940619,80,-90
12940620,80,-92
12940621,80,-83
12940622,6,-80
12940623,80,-95
12940624,80,-85
12940625,80,-90
12940626,15,-67
12940627,15,-85
12940628,15,-76
12940629,6,-79
12940630,80,-97
12940631,80,-88
12940632,6,-86
12940633,15,-73
12940634,6,-75
12940635,6,-75
12940636,80,-84
12940637,80,-92
12940638,80,-89
12940639,15,-66
12940640,6,-93
12940641,6,-95
12940642,6,-77
12940643,80,-81
12940644,80,-89
12940645,80,-78
12940646,6,-83
12940647,6,-69
12940648,15,-86
12940649,15,-70
12940650,6,-83
12940651,80,-75
12940652,80,-79
12940653,80,-82
12940654,80,-87
12940655,6,-79
12940656,15,-79
12940657,15,-86
12940658,6,-92
12940659,6,-88
12940660,6,-92
12940661,6,-84
12940662,6,-74
12940663,80,-75
12940664,80,-91
12940665,80,-61
12940666,80,-75
12940667,80,-86
12940668,80,-78
12940669,15,-69
12940670,15,-77
12940671,80,-92
12940672,6,-81
12940673,6,-73
12940674,80,-71
12940675,80,-82
12940676,80,-79
12940677,80,-89
12940678,80,-77
12940679,80,-85
12940680,80,-75
12940681,80,-101
12940682,80,-87
12940683,15,-79
12940684,15,-85
12940685,15,-67
12940686,6,-88
12940687,80,-91
12940688,80,-77
12940689,80,-84
12940690,80,-78
12940691,15,-70
12940692,80,-76
12940693,6,-76
12940694,80,-70
12940695,80,-77
12940696,6,-79
12940697,6,-78
12940698,80,-71
12940699,80,-86
12940700,80,-72
12940701,80,-96
12940702,15,-63
12940703,15,-69
12940704,6,-86
12940705,6,-95
12940706,80,-92
12940707,80,-89
12940708,80,-91
12940709,80,-96
12940710,80,-82
12940711,80,-77
12940712,80,-89
12940713,80,-92
12940714,80,-93
12940715,15,-74
12940716,15,-86
12940717,6,-74
12940718,6,-98
12940719,6,-92
12940720,80,-90
12940721,80,-88
12940722,80,-75
12940723,80,-91
12940724,6,-79
12940725,15,-69
12940726,15,-76
12940727,6,-85
12940728,6,-75
12940729,6,-81
12940730,80,-64
12940731,80,-89
12940732,80,-99
12940733,80,-71
12940734,80,-90
12940735,15,-100
12940736,15,-68
12940737,6,-68
12940738,6,-77
12940739,80,-76
12940740,80,-82
12940741,80,-86
12940742,80,-70
12940743,6,-78
12940744,15,-69
12940745,15,-67
12940746,15,-85
12940747,6,-67
12940748,6,-78
12940749,80,-95
12940750,80,-71
12940751,6,-81
12940752,80,-91
12940753,15,-73
12940754,15,-84
12940755,80,-96
12940756,6,-73
12940757,6,-95
12940758,6,-95
12940759,6,-67
12940760,80,-87
12940761,80,-75
12940762,80,-103
12940763,80,-97
12940764,80,-97
12940765,80,-90
12940766,80,-87
12940767,15,-62
12940768,15,-95
12940769,6,-75
12940770,80,-80
12940771,80,-85
12940772,80,-101
12940773,80,-86
12940774,6,-83
12940775,6,-68
12940776,80,-70
12940777,80,-76
12940778,15,-69
12940779,15,-63
12940780,6,-88
12940781,6,-80
12940782,6,-81
12940783,80,-80
12940784,80,-84
12940785,80,-79
12940786,80,-74
12940787,15,-69
12940788,15,-98
12940789,6,-81
12940790,6,-97
12940791,6,-84
12940792,6,-72
12940793,80,-84
12940794,80,-80
12940795,80,-79
12940796,80,-70
12940797,80,-81
12940798,15,-73
12940799,15,-62
12940800,6,-70
12940801,6,-77
12940802,80,-76
12940803,80,-101
12940804,80,-98
12940805,80,-87
12940806,6,-81
12940807,80,-96
12940808,80,-85
12940809,15,-65
12940810,15,-96
12940811,6,-87
12940812,80,-85
12940813,80,-90
12940814,6,-92
12940815,6,-74
12940816,80,-72
12940817,80,-71
12940818,80,-80
12940819,80,-83
12940820,6,-81
12940821,80,-84
12940822,6,-91
12940823,15,-66
12940824,6,-80
12940825,6,-77
12940826,6,-77
12940827,80,-72
12940828,80,-77
12940829,80,-94
12940830,80,-97
12940831,80,-71
12940832,6,-75
12940833,15,-80
12940834,6,-73
12940835,6,-79
12940836,6,-87
12940837,6,-80
12940838,80,-84
12940839,80,-74
12940840,80,-75
12940841,80,-74
12940842,6,-71
12940843,15,-69
12940844,15,-63
12940845,6,-90
12940846,6,-86
12940847,6,-90
12940848,6,-70
12940849,6,-90
12940850,6,-91
12940851,80,-89
12940852,15,-73
12940853,15,-77
12940854,6,-83
12940855,6,-88
12940856,6,-78
12940857,80,-86
12940858,6,-75
12940859,80,-92
12940860,15,-68
12940861,15,-65
12940862,15,-84
12940863,6,-73
12940864,80,-91
12940865,80,-79
12940866,80,-76
12940867,80,-98
12940868,80,-78
12940869,6,-74
12940870,15,-86
12940871,6,-94
12940872,80,-95
12940873,80,-89
12940874,80,-84
12940875,80,-100
12940876,6,-80
12940877,15,-81
12940878,15,-95
12940879,15,-65
12940880,6,-89
12940881,6,-80
12940882,80,-83
12940883,80,-86
12940884,80,-85
12940885,80,-89
12940886,80,-75
12940887,6,-84
12940888,80,-90
12940889,15,-74
12940890,15,-85
12940891,6,-86
12940892,6,-80
12940893,80,-85
12940894,80,-89
12940895,6,-72
12940896,80,-79
12940897,80,-96
12940898,6,-92
12940899,80,-75
12940900,80,-74
12940901,80,-83
12940902,15,-68
12940903,6,-77
12940904,6,-73
12940905,80,-96
12940906,80,-81
12940907,80,-80
12940908,80,-83
12940909,80,-60
12940910,80,-74
12940911,6,-95
12940912,15,-85
12940913,15,-85
12940914,6,-77
12940915,6,-90
12940916,6,-81
12940917,80,-96
12940918,80,-83
12940919,80,-89
12940920,6,-79
12940921,6,-91
12940922,80,-79
12940923,80,-72
12940924,15,-69
12940925,6,-71
12940926,80,-86
12940927,80,-83
12940928,80,-83
12940929,80,-88
12940930,80,-94
12940931,80,-66
12940932,80,-92
12940933,15,-85
12940934,15,-87
12940935,6,-77
12940936,6,-79
12940937,6,-74
12940938,6,-85
12940939,6,-72
12940940,80,-81
12940941,80,-90
12940942,80,-89
12940943,80,-83
12940944,80,-86
12940945,80,-86
12940946,15,-81
12940947,15,-95
12940948,15,-66
12940949,6,-87
12940950,6,-95
12940951,6,-91
12940952,6,-73
12940953,80,-73
12940954,80,-75
12940955,80,-80
12940956,80,-78
12940957,80,-92
12940958,6,-77
12940959,15,-73
12940960,15,-74
12940961,6,-94
12940962,6,-92
12940963,80,-82
12940964,80,-79
12940965,80,-90
12940966,80,-87
12940967,80,-88
12940968,80,-94
12940969,6,-82
12940970,80,-82
12940971,15,-69
12940972,15,-83
12940973,15,-84
12940974,6,-87
12940975,6,-90
12940976,80,-84
12940977,80,-87
12940978,80,-91
12940979,80,-85
12940980,15,-96
12940981,6,-97
12940982,6,-76
12940983,6,-81
12940984,80,-88
12940985,80,-78
12940986,80,-70
12940987,80,-96
