,-76
12877721,15,-82
12877722,6,-68
12877723,6,-81
12877724,6,-89
12877725,15,-83
12877726,39,-88
12877727,39,-79
12877728,39,-77
12877729,39,-86
12877730,96,-80
12877731,96,-78
12877732,96,-92
12877733,6,-83
12877734,6,-82
12877735,15,-78
12877736,39,-89
12877737,80,-91
12877738,80,-72
12877739,15,-67
12877740,15,-93
12877741,39,-82
12877742,6,-85
12877743,6,-75
12877744,6,-83
12877745,80,-79
12877746,15,-87
12877747,15,-89
12877748,39,-80
12877749,39,-82
12877750,39,-79
12877751,39,-70
12877752,39,-88
12877753,39,-86
12877754,39,-81
12877755,6,-87
12877756,6,-87
12877757,80,-84
12877758,80,-71
12877759,15,-79
12877760,39,-88
12877761,39,-72
12877762,39,-75
12877763,96,-70
12877764,96,-95
12877765,96,-78
12877766,6,-96
12877767,6,-73
12877768,6,-72
12877769,6,-83
12877770,96,-54
12877771,96,-54
12877772,96,-60
12877773,96,-42
12877774,96,-43
12877775,96,-41
12877776,80,-92
12877777,80,-85
12877778,96,-41
12877779,15,-79
12877780,15,-87
12877781,96,-42
12877782,39,-78
12877783,39,-81
12877784,39,-81
12877785,39,-80
12877786,39,-79
12877787,6,-88
12877788,6,-93
12877789,6,-85
12877790,80,-99
12877791,80,-90
12877792,80,-83
12877793,15,-91
12877794,15,-69
12877795,39,-87
12877796,6,-83
12877797,6,-81
12877798,6,-98
12877799,80,-95
12877800,80,-99
12877801,80,-80
12877802,15,-68
12877803,96,-58
12877804,39,-84
12877805,39,-85
12877806,39,-80
12877807,39,-83
12877808,96,-39
12877809,6,-74
12877810,6,-70
12877811,39,-71
12877812,80,-93
12877813,80,-87
12877814,80,-81
12877815,15,-70
12877816,39,-70
12877817,39,-86
12877818,6,-78
12877819,6,-75
12877820,6,-79
12877821,6,-84
12877822,6,-95
12877823,80,-87
12877824,80,-85
12877825,80,-84
12877826,15,-72
12877827,15,-67
12877828,39,-85
12877829,6,-91
12877830,80,-84
12877831,15,-75
12877832,15,-82
12877833,39,-89
12877834,39,-74
12877835,39,-100
12877836,39,-74
12877837,96,-86
12877838,80,-71
12877839,80,-97
12877840,80,-97
12877841,15,-67
12877842,15,-97
12877843,39,-82
12877844,39,-81
12877845,39,-79
12877846,39,-85
12877847,39,-85
12877848,39,-98
12877849,6,-89
12877850,6,-73
12877851,96,-57
12877852,96,-85
12877853,15,-73
12877854,15,-86
12877855,39,-72
12877856,39,-79
12877857,6,-74
12877858,6,-88
12877859,6,-75
12877860,80,-100
12877861,15,-63
12877862,39,-90
12877863,39,-94
12877864,39,-88
12877865,39,-93
12877866,39,-86
12877867,6,-83
12877868,6,-74
12877869,6,-80
12877870,6,-91
12877871,80,-84
12877872,15,-86
12877873,39,-70
12877874,39,-84
12877875,39,-99
12877876,6,-89
12877877,6,-90
12877878,6,-79
12877879,6,-72
12877880,96,-77
12877881,96,-87
12877882,96,-43
12877883,96,-96
12877884,96,-83
12877885,96,-58
12877886,96,-45
12877887,96,-58
12877888,80,-93
12877889,80,-71
12877890,15,-63
12877891,15,-73
12877892,15,-86
12877893,96,-42
12877894,39,-81
12877895,39,-80
12877896,6,-72
12877897,6,-77
12877898,96,-81
12877899,80,-85
12877900,80,-75
12877901,15,-91
12877902,15,-70
12877903,39,-90
12877904,39,-75
12877905,80,-87
12877906,80,-97
12877907,80,-92
12877908,80,-86
12877909,80,-95
12877910,39,-91
12877911,80,-75
12877912,80,-75
12877913,39,-87
12877914,80,-102
12877915,80,-82
12877916,80,-97
12877917,39,-96
12877918,39,-89
12877919,80,-95
12877920,39,-98
12877921,6,-93
12877922,6,-75
12877923,6,-76
12877924,6,-81
12877925,96,-81
12877926,80,-90
12877927,80,-87
12877928,15,-85
12877929,15,-85
12877930,15,-65
12877931,39,-82
12877932,39,-93
12877933,6,-72
12877934,6,-76
12877935,96,-46
12877936,96,-90
12877937,80,-85
12877938,15,-76
12877939,15,-93
12877940,80,-84
12877941,39,-98
12877942,39,-85
12877943,96,-89
12877944,96,-84
12877945,39,-87
12877946,96,-96
12877947,80,-96
12877948,15,-71
12877949,15,-78
12877950,39,-70
12877951,39,-87
12877952,6,-88
12877953,96,-99
12877954,39,-87
12877955,6,-73
12877956,80,-81
12877957,39,-97
12877958,39,-79
12877959,15,-84
12877960,15,-68
12877961,96,-86
12877962,96,-78
12877963,96,-48
12877964,15,-73
12877965,39,-87
12877966,39,-88
12877967,6,-86
12877968,39,-91
12877969,6,-73
12877970,80,-81
12877971,80,-89
12877972,15,-72
12877973,39,-82
12877974,39,-70
12877975,6,-75
12877976,6,-85
12877977,6,-81
12877978,80,-87
12877979,15,-75
12877980,15,-73
12877981,15,-97
12877982,39,-72
12877983,39,-84
12877984,96,-71
12877985,96,-73
12877986,6,-88
12877987,6,-88
12877988,6,-91
12877989,96,-86
12877990,96,-80
12877991,80,-82
12877992,15,-74
12877993,39,-83
12877994,39,-79
12877995,39,-75
12877996,39,-90
12877997,39,-92
12877998,6,-92
12877999,6,-82
12878000,6,-90
12878001,80,-91
12878002,80,-72
12878003,15,-87
12878004,80,-91
12878005,15,-68
12878006,39,-85
12878007,39,-85
12878008,39,-79
12878009,80,-85
12878010,96,-67
12878011,6,-78
12878012,6,-77
12878013,6,-93
12878014,6,-83
12878015,96,-43
12878016,15,-83
12878017,15,-82
12878018,39,-74
12878019,39,-91
12878020,39,-86
12878021,80,-95
12878022,39,-94
12878023,6,-71
12878024,6,-82
12878025,6,-96
12878026,39,-79
12878027,96,-83
12878028,80,-86
12878029,15,-70
12878030,15,-84
12878031,15,-68
12878032,39,-81
12878033,39,-79
12878034,39,-85
12878035,39,-96
12878036,6,-80
12878037,6,-72
12878038,6,-92
12878039,6,-90
12878040,96,-94
12878041,80,-71
12878042,80,-90
12878043,80,-87
12878044,15,-82
12878045,39,-79
12878046,39,-88
12878047,39,-85
12878048,6,-79
12878049,6,-83
12878050,96,-86
12878051,80,-86
12878052,80,-83
12878053,80,-87
12878054,96,-41
12878055,80,-95
12878056,15,-74
12878057,15,-87
12878058,39,-86
12878059,39,-66
12878060,39,-82
12878061,6,-76
12878062,6,-80
12878063,6,-93
12878064,96,-89
12878065,80,-77
12878066,80,-72
12878067,80,-79
12878068,80,-87
12878069,15,-71
12878070,15,-94
12878071,39,-78
12878072,6,-74
12878073,6,-84
12878074,6,-80
12878075,80,-83
12878076,80,-87
12878077,15,-87
12878078,15,-80
12878079,39,-70
12878080,39,-84
12878081,39,-73
12878082,39,-86
12878083,6,-78
12878084,6,-83
12878085,6,-98
12878086,80,-87
12878087,80,-82
12878088,80,-89
12878089,80,-78
12878090,80,-83
12878091,15,-81
12878092,15,-84
12878093,39,-83
12878094,39,-97
12878095,39,-70
12878096,6,-82
12878097,6,-78
12878098,6,-68
12878099,96,-83
12878100,80,-89
12878101,80,-90
12878102,80,-86
12878103,15,-86
12878104,15,-74
12878105,39,-80
12878106,39,-83
12878107,39,-100
12878108,39,-71
12878109,39,-71
12878110,39,-79
12878111,6,-71
12878112,6,-88
12878113,96,-91
12878114,80,-80
