6,-69
12876006,39,-87
12876007,39,-82
12876008,39,-88
12876009,39,-85
12876010,93,-83
12876011,93,-70
12876012,6,-73
12876013,6,-99
12876014,93,-83
12876015,6,-93
12876016,39,-87
12876017,80,-92
12876018,15,-69
12876019,15,-97
12876020,39,-76
12876021,93,-86
12876022,6,-76
12876023,6,-98
12876024,80,-79
12876025,15,-73
12876026,39,-81
12876027,39,-88
12876028,93,-95
12876029,93,-70
12876030,96,-96
12876031,6,-95
12876032,6,-84
12876033,80,-82
12876034,80,-77
12876035,39,-79
12876036,39,-90
12876037,39,-79
12876038,39,-78
12876039,39,-73
12876040,93,-60
12876041,6,-85
12876042,93,-99
12876043,6,-84
12876044,6,-72
12876045,80,-90
12876046,80,-89
12876047,80,-69
12876048,80,-77
12876049,15,-73
12876050,15,-65
12876051,39,-90
12876052,39,-90
12876053,93,-83
12876054,93,-58
12876055,6,-70
12876056,80,-71
12876057,15,-71
12876058,39,-81
12876059,39,-87
12876060,39,-84
12876061,39,-79
12876062,39,-73
12876063,39,-79
12876064,39,-100
12876065,93,-97
12876066,6,-76
12876067,6,-87
12876068,93,-69
12876069,6,-92
12876070,6,-80
12876071,80,-91
12876072,15,-78
12876073,15,-67
12876074,39,-68
12876075,93,-57
12876076,6,-87
12876077,93,-87
12876078,93,-84
12876079,6,-70
12876080,80,-71
12876081,80,-94
12876082,80,-82
12876083,15,-71
12876084,15,-76
12876085,39,-84
12876086,39,-92
12876087,39,-76
12876088,39,-74
12876089,39,-86
12876090,39,-97
12876091,39,-76
12876092,93,-59
12876093,93,-78
12876094,6,-84
12876095,80,-96
12876096,80,-85
12876097,15,-90
12876098,15,-68
12876099,39,-90
12876100,39,-94
12876101,93,-55
12876102,6,-70
12876103,6,-93
12876104,6,-99
12876105,93,-86
12876106,6,-71
12876107,15,-87
12876108,15,-78
12876109,15,-80
12876110,39,-90
12876111,39,-90
12876112,39,-94
12876113,39,-89
12876114,93,-83
12876115,93,-71
12876116,6,-91
12876117,6,-81
12876118,6,-67
12876119,80,-87
12876120,80,-89
12876121,15,-72
12876122,15,-70
12876123,39,-89
12876124,39,-85
12876125,39,-86
12876126,93,-71
12876127,6,-89
12876128,39,-86
12876129,6,-94
12876130,6,-84
12876131,6,-84
12876132,80,-68
12876133,15,-96
12876134,39,-74
12876135,39,-90
12876136,39,-77
12876137,93,-56
12876138,6,-86
12876139,6,-99
12876140,6,-76
12876141,80,-92
12876142,15,-74
12876143,15,-78
12876144,39,-99
12876145,39,-71
12876146,39,-97
12876147,6,-79
12876148,39,-90
12876149,6,-73
12876150,6,-71
12876151,80,-83
12876152,80,-86
12876153,80,-79
12876154,15,-84
12876155,15,-66
12876156,39,-74
12876157,39,-78
12876158,39,-90
12876159,39,-86
12876160,39,-87
12876161,39,-67
12876162,93,-70
12876163,6,-75
12876164,6,-71
12876165,15,-78
12876166,15,-84
12876167,39,-85
12876168,39,-94
12876169,39,-70
12876170,93,-85
12876171,93,-69
12876172,6,-83
12876173,6,-76
12876174,6,-84
12876175,15,-80
12876176,80,-90
12876177,93,-69
12876178,15,-79
12876179,39,-89
12876180,39,-101
12876181,39,-97
12876182,39,-91
12876183,93,-85
12876184,93,-77
12876185,6,-75
12876186,6,-83
12876187,6,-79
12876188,6,-70
12876189,39,-72
12876190,80,-84
12876191,15,-80
12876192,15,-93
12876193,39,-69
12876194,39,-78
12876195,93,-67
12876196,93,-77
12876197,93,-98
12876198,6,-97
12876199,6,-91
12876200,6,-68
12876201,80,-84
12876202,15,-72
12876203,15,-93
12876204,39,-95
12876205,39,-86
12876206,39,-91
12876207,39,-84
12876208,39,-73
12876209,39,-78
12876210,93,-90
12876211,6,-85
12876212,6,-93
12876213,6,-76
12876214,6,-74
12876215,80,-71
12876216,80,-85
12876217,80,-83
12876218,15,-80
12876219,93,-86
12876220,93,-81
12876221,93,-78
12876222,6,-95
12876223,6,-82
12876224,6,-69
12876225,15,-94
12876226,15,-89
12876227,39,-89
12876228,39,-78
12876229,39,-72
12876230,39,-88
12876231,39,-86
12876232,39,-89
12876233,93,-71
12876234,93,-90
12876235,93,-93
12876236,6,-74
12876237,6,-88
12876238,96,-85
12876239,6,-87
12876240,80,-83
12876241,80,-76
12876242,80,-99
12876243,80,-77
12876244,15,-81
12876245,15,-67
12876246,80,-92
12876247,39,-73
12876248,39,-92
12876249,96,-85
12876250,6,-71
12876251,96,-95
12876252,80,-95
12876253,80,-90
12876254,15,-86
12876255,15,-76
12876256,39,-80
12876257,39,-87
12876258,39,-91
12876259,39,-90
12876260,93,-60
12876261,93,-89
12876262,93,-93
12876263,6,-87
12876264,6,-86
12876265,6,-94
12876266,6,-99
12876267,6,-74
12876268,80,-74
12876269,80,-74
12876270,80,-85
12876271,80,-97
12876272,80,-86
12876273,15,-65
12876274,15,-81
12876275,39,-89
12876276,39,-85
12876277,39,-92
12876278,39,-100
12876279,39,-89
12876280,93,-71
12876281,96,-94
12876282,93,-94
12876283,96,-97
12876284,6,-72
12876285,6,-85
12876286,39,-94
12876287,39,-82
12876288,39,-84
12876289,39,-98
12876290,39,-99
