,-91
12853297,93,-89
12853298,93,-66
12853299,6,-72
12853300,6,-94
12853301,6,-81
12853302,78,-82
12853303,78,-96
12853304,78,-82
12853305,80,-83
12853306,80,-70
12853307,80,-95
12853308,80,-99
12853309,80,-91
12853310,15,-92
12853311,80,-94
12853312,80,-75
12853313,15,-97
12853314,39,-78
12853315,39,-101
12853316,78,-90
12853317,93,-58
12853318,93,-86
12853319,6,-78
12853320,6,-90
12853321,6,-87
12853322,78,-89
12853323,39,-93
12853324,6,-86
12853325,15,-68
12853326,80,-75
12853327,80,-78
12853328,80,-83
12853329,80,-69
12853330,39,-91
12853331,39,-70
12853332,39,-71
12853333,39,-83
12853334,93,-50
12853335,93,-99
12853336,6,-87
12853337,6,-66
12853338,6,-78
12853339,78,-79
12853340,78,-83
12853341,15,-100
12853342,80,-71
12853343,80,-94
12853344,80,-88
12853345,80,-89
12853346,39,-86
12853347,39,-88
12853348,39,-95
12853349,93,-87
12853350,93,-88
12853351,93,-94
12853352,93,-50
12853353,6,-78
12853354,6,-87
12853355,6,-93
12853356,6,-68
12853357,78,-80
12853358,78,-88
12853359,78,-78
12853360,15,-70
12853361,80,-70
12853362,15,-71
12853363,80,-82
12853364,80,-68
12853365,80,-76
12853366,80,-80
12853367,39,-77
12853368,39,-92
12853369,39,-84
12853370,39,-79
12853371,39,-68
12853372,93,-49
12853373,93,-100
12853374,93,-80
12853375,6,-78
12853376,6,-73
12853377,6,-67
12853378,6,-88
12853379,78,-98
12853380,78,-85
12853381,78,-83
12853382,15,-68
12853383,15,-78
12853384,80,-76
12853385,80,-94
12853386,80,-80
12853387,80,-82
12853388,80,-97
12853389,39,-75
12853390,39,-69
12853391,39,-90
12853392,39,-96
12853393,93,-73
12853394,93,-72
12853395,93,-89
12853396,93,-84
12853397,6,-85
12853398,6,-71
12853399,6,-84
12853400,80,-72
12853401,80,-77
12853402,80,-71
12853403,80,-83
12853404,80,-80
12853405,39,-77
12853406,39,-76
12853407,39,-91
12853408,39,-83
12853409,39,-93
12853410,93,-50
12853411,93,-79
12853412,6,-76
12853413,6,-82
12853414,6,-70
12853415,6,-93
12853416,78,-78
12853417,78,-92
12853418,80,-91
12853419,80,-88
12853420,80,-82
12853421,15,-71
12853422,15,-85
12853423,80,-85
12853424,39,-71
12853425,39,-64
12853426,39,-97
12853427,39,-77
12853428,93,-57
12853429,93,-84
12853430,93,-102
12853431,93,-73
12853432,6,-80
12853433,6,-90
12853434,6,-84
12853435,78,-84
12853436,78,-72
12853437,78,-73
12853438,15,-75
12853439,39,-91
12853440,39,-72
12853441,39,-86
12853442,39,-81
12853443,93,-50
12853444,93,-88
12853445,93,-79
12853446,6,-74
12853447,6,-80
12853448,78,-82
12853449,78,-78
12853450,6,-101
12853451,78,-77
12853452,80,-83
12853453,80,-76
12853454,80,-81
12853455,15,-97
12853456,15,-70
12853457,15,-69
12853458,39,-81
12853459,93,-87
12853460,93,-87
12853461,78,-79
12853462,78,-84
12853463,80,-73
12853464,80,-72
12853465,80,-86
12853466,80,-78
12853467,15,-77
12853468,80,-95
12853469,15,-90
12853470,93,-65
12853471,6,-78
12853472,6,-74
12853473,6,-78
12853474,78,-84
12853475,78,-100
12853476,78,-68
12853477,80,-77
12853478,15,-86
12853479,80,-92
12853480,80,-97
12853481,80,-76
12853482,15,-71
12853483,39,-68
12853484,39,-82
12853485,39,-80
12853486,93,-88
12853487,93,-72
12853488,93,-94
12853489,93,-87
12853490,6,-75
12853491,6,-91
12853492,6,-71
12853493,6,-84
12853494,78,-78
12853495,80,-86
12853496,80,-84
12853497,80,-78
12853498,80,-96
12853499,80,-82
12853500,80,-95
12853501,15,-72
12853502,15,-75
12853503,39,-104
12853504,39,-65
12853505,39,-76
12853506,39,-81
12853507,39,-80
12853508,93,-49
12853509,6,-70
12853510,6,-80
12853511,6,-80
12853512,78,-79
12853513,78,-90
12853514,39,-89
12853515,39,-88
12853516,78,-91
12853517,39,-75
12853518,78,-85
12853519,80,-80
12853520,15,-63
12853521,80,-77
12853522,80,-79
12853523,39,-86
12853524,39,-87
12853525,39,-96
12853526,93,-73
12853527,93,-96
12853528,93,-58
12853529,93,-99
12853530,6,-72
12853531,78,-77
12853532,78,-75
12853533,80,-85
12853534,15,-75
12853535,80,-82
12853536,39,-88
12853537,39,-68
12853538,39,-77
12853539,93,-88
12853540,6,-69
12853541,6,-76
12853542,80,-82
12853543,80,-78
12853544,80,-99
12853545,15,-73
12853546,80,-76
12853547,15,-66
12853548,39,-61
12853549,39,-81
12853550,39,-87
12853551,39,-71
12853552,39,-94
12853553,93,-71
12853554,80,-74
12853555,80,-94
12853556,15,-84
12853557,15,-85
12853558,15,-74
12853559,39,-89
12853560,93,-88
12853561,93,-97
12853562,93,-50
12853563,78,-73
12853564,6,-75
12853565,6,-83
12853566,78,-87
12853567,6,-76
12853568,6,-82
12853569,80,-99
12853570,80,-91
12853571,80,-80
12853572,15,-87
12853573,15,-77
12853574,93,-57
12853575,93,-95
12853576,15,-87
12853577,78,-71
12853578,80,-73
12853579,15,-70
12853580,80,-77
12853581,15,-70
12853582,39,-73
12853583,78,-79
12853584,78,-91
12853585,39,-82
12853586,39,-70
12853587,39,-90
12853588,39,-78
12853589,93,-65
12853590,93,-99
12853591,78,-89
12853592,6,-73
12853593,78,-76
12853594,80,-85
12853595,15,-87
12853596,15,-69
12853597,80,-84
12853598,80,-86
12853599,39,-63
12853600,39,-95
12853601,39,-97
12853602,73,-86
12853603,39,-74
12853604,39,-71
12853605,93,-56
12853606,93,-89
12853607,93,-81
12853608,93,-89
12853609,6,-76
12853610,6,-93
12853611,78,-85
12853612,78,-82
12853613,6,-87
12853614,6,-76
12853615,78,-73
12853616,78,-73
12853617,80,-93
12853618,80,-73
12853619,80,-79
12853620,15,-84
12853621,15,-63
12853622,39,-67
12853623,39,-96
12853624,39,-80
12853625,39,-91
12853626,39,-93
12853627,93,-50
12853628,93,-88
12853629,93,-79
12853630,78,-77
12853631,80,-77
12853632,80,-99
12853633,80,-95
12853634,80,-89
12853635,80,-94
12853636,15,-75
12853637,39,-64
12853638,39,-98
12853639,93,-94
12853640,93,-73
12853641,93,-73
12853642,93,-86
12853643,39,-89
12853644,6,-93
12853645,78,-81
12853646,78,-84
12853647,78,-77
12853648,78,-86
12853649,6,-86
12853650,6,-90
12853651,78,-70
12853652,39,-86
12853653,78,-80
12853654,39,-82
12853655,78,-75
12853656,78,-83
12853657,39,-99
12853658,78,-61
12853659,39,-88
12853660,78,-72
12853661,39,-91
12853662,78,-70
12853663,39,-88
12853664,6,-90
12853665,78,-100
12853666,78,-89
12853667,78,-55
12853668,80,-88
12853669,15,-66
12853670,15,-81
12853671,80,-70
12853672,39,-78
12853673,39,-67
12853674,39,-93
12853675,39,-80
12853676,39,-100
12853677,93,-49
12853678,93,-98
12853679,93,-79
12853680,6,-73
12853681,6,-75
12853682,6,-94
12853683,6,-83
12853684,6,-93
12853685,78,-80
12853686,78,-73
12853687,80,-84
12853688,80,-74
12853689,80,-78
12853690,80,-95
12853691,78,-72
12853692,15,-71
12853693,15,-71
12853694,39,-69
12853695,39,-92
12853696,39,-62
12853697,39,-100
12853698,93,-98
12853699,93,-95
12853700,93,-66
12853701,78,-69
12853702,93,-77
12853703,6,-76
12853704,6,-82
12853705,78,-84
12853706,78,-87
12853707,78,-97
12853708,78,-91
12853709,6,-73
12853710,78,-81
12853711,78,-78
12853712,39,-100
12853713,78,-82
12853714,78,-63
12853715,80,-84
12853716,80,-85
12853717,78,-60
12853718,15,-82
12853719,15,-64
12853720,39,-83
12853721,39,-85
12853722,39,-75
12853723,93,-65
12853724,93,-80
12853725,6,-76
12853726,6,-83
12853727,78,-90
12853728,39,-84
12853729,39,-90
12853730,80,-86
12853731,80,-81
12853732,80,-72
12853733,6,-71
12853734,15,-85
12853735,15,-72
12853736,78,-79
12853737,78,-51
12853738,39,-83
12853739,39,-81
12853740,39,-61
12853741,39,-94
12853742,39,-84
12853743,39,-97
12853744,93,-75
12853745,93,-50
12853746,78,-77
12853747,6,-88
12853748,6,-89
12853749,78,-82
12853750,6,-73
12853751,78,-83
12853752,80,-89
12853753,80,-95
12853754,15,-74
12853755,15,-70
12853756,39,-75
12853757,39,-76
12853758,39,-96
12853759,39,-80
12853760,93,-85
12853761,93,-80
12853762,93,-64
12853763,78,-71
12853764,78,-87
12853765,80,-90
12853766,80,-91
12853767,80,-93
12853768,15,-74
12853769,15,-64
12853770,39,-69
12853771,73,-94
12853772,39,-61
12853773,93,-88
