,-76
12836742,93,-81
12836743,6,-92
12836744,6,-73
12836745,15,-73
12836746,15,-64
12836747,93,-85
12836748,93,-73
12836749,6,-66
12836750,15,-72
12836751,15,-82
12836752,93,-54
12836753,93,-96
12836754,93,-95
12836755,6,-73
12836756,6,-94
12836757,15,-69
12836758,93,-80
12836759,6,-80
12836760,6,-81
12836761,15,-84
12836762,93,-68
12836763,6,-75
12836764,6,-85
12836765,6,-91
12836766,15,-69
12836767,15,-86
12836768,93,-67
12836769,93,-97
12836770,6,-71
12836771,15,-85
12836772,15,-68
12836773,93,-99
12836774,6,-83
12836775,6,-73
12836776,15,-69
12836777,15,-70
12836778,93,-79
12836779,93,-82
12836780,15,-70
12836781,15,-80
12836782,93,-80
12836783,93,-56
12836784,6,-83
12836785,6,-85
12836786,15,-74
12836787,15,-99
12836788,15,-65
12836789,93,-69
12836790,93,-88
12836791,6,-89
12836792,6,-75
12836793,6,-84
12836794,15,-68
12836795,15,-73
12836796,93,-88
12836797,93,-58
12836798,6,-74
12836799,6,-90
12836800,6,-73
12836801,15,-79
12836802,15,-70
12836803,93,-62
12836804,93,-84
12836805,6,-87
12836806,6,-88
12836807,6,-98
12836808,15,-69
12836809,15,-72
12836810,93,-88
12836811,93,-72
12836812,6,-84
12836813,6,-80
12836814,6,-72
12836815,6,-87
12836816,15,-71
12836817,15,-82
12836818,93,-56
12836819,93,-98
12836820,15,-84
12836821,93,-98
12836822,93,-84
12836823,6,-71
12836824,6,-87
12836825,6,-91
12836826,15,-68
12836827,15,-98
12836828,15,-103
12836829,93,-58
12836830,93,-94
12836831,6,-77
12836832,6,-89
12836833,6,-85
12836834,15,-72
12836835,93,-83
12836836,6,-90
12836837,6,-85
12836838,15,-86
12836839,15,-68
12836840,93,-95
12836841,93,-95
12836842,93,-71
12836843,6,-89
12836844,6,-82
12836845,6,-77
12836846,15,-73
12836847,15,-86
12836848,93,-95
12836849,93,-72
12836850,93,-93
12836851,6,-85
12836852,15,-79
12836853,93,-82
12836854,93,-73
12836855,93,-94
12836856,6,-75
12836857,6,-93
12836858,6,-77
12836859,15,-71
12836860,15,-84
12836861,6,-85
12836862,6,-92
12836863,93,-87
12836864,6,-69
12836865,6,-92
12836866,15,-63
12836867,15,-86
12836868,93,-83
12836869,93,-86
12836870,93,-55
12836871,6,-85
12836872,6,-93
12836873,6,-72
12836874,15,-70
12836875,93,-87
12836876,93,-83
12836877,6,-74
12836878,6,-73
12836879,6,-81
12836880,15,-86
12836881,15,-65
12836882,15,-87
12836883,93,-82
12836884,93,-69
12836885,6,-77
12836886,6,-85
12836887,15,-70
12836888,6,-70
12836889,93,-94
12836890,93,-55
12836891,93,-86
12836892,6,-88
12836893,15,-85
12836894,15,-77
12836895,93,-93
12836896,93,-69
12836897,6,-81
12836898,15,-75
12836899,15,-90
12836900,93,-54
12836901,93,-93
12836902,93,-84
12836903,6,-79
12836904,6,-71
12836905,6,-90
12836906,15,-80
12836907,93,-69
12836908,6,-77
12836909,6,-74
12836910,6,-97
12836911,6,-77
12836912,15,-74
12836913,93,-83
12836914,93,-54
12836915,6,-89
12836916,6,-82
12836917,15,-79
12836918,15,-83
12836919,93,-67
12836920,6,-77
12836921,15,-74
12836922,6,-85
12836923,93,-87
12836924,93,-54
12836925,93,-79
12836926,6,-89
12836927,15,-74
12836928,15,-68
12836929,93,-83
12836930,93,-67
12836931,6,-78
12836932,15,-71
12836933,15,-71
12836934,93,-84
12836935,93,-93
12836936,93,-70
12836937,6,-73
12836938,6,-82
12836939,6,-88
12836940,6,-92
12836941,15,-73
12836942,15,-78
12836943,15,-102
12836944,93,-81
12836945,93,-96
12836946,6,-74
12836947,15,-68
12836948,15,-88
12836949,93,-54
12836950,93,-94
12836951,6,-82
12836952,15,-68
12836953,15,-70
12836954,93,-54
12836955,93,-83
12836956,93,-79
12836957,6,-87
12836958,6,-77
12836959,15,-68
12836960,15,-87
12836961,6,-82
12836962,6,-85
12836963,6,-78
12836964,15,-86
12836965,15,-78
12836966,93,-54
12836967,93,-84
12836968,93,-81
12836969,6,-88
12836970,6,-83
12836971,6,-82
12836972,6,-92
12836973,93,-85
12836974,93,-94
12836975,93,-55
12836976,6,-68
12836977,6,-87
12836978,6,-89
12836979,15,-87
12836980,15,-79
12836981,93,-98
12836982,93,-68
12836983,93,-83
12836984,6,-75
12836985,6,-83
12836986,6,-77
12836987,15,-68
12836988,15,-75
12836989,93,-70
12836990,93,-95
12836991,6,-67
12836992,15,-70
12836993,15,-100
12836994,15,-65
12836995,6,-81
12836996,93,-87
12836997,93,-54
12836998,93,-92
12836999,6,-75
12837000,6,-97
12837001,6,-93
12837002,15,-70
12837003,15,-68
12837004,6,-76
12837005,93,-68
12837006,6,-78
12837007,15,-81
12837008,93,-54
12837009,93,-78
12837010,6,-71
12837011,15,-72
12837012,15,-81
12837013,93,-62
12837014,6,-86
12837015,15,-71
12837016,15,-68
12837017,93,-98
12837018,93,-55
12837019,93,-94
12837020,6,-75
12837021,15,-71
12837022,15,-70
12837023,6,-84
12837024,93,-54
12837025,93,-92
12837026,93,-83
12837027,6,-91
12837028,6,-91
12837029,6,-89
12837030,15,-72
12837031,15,-79
12837032,15,-86
12837033,93,-88
12837034,93,-68
12837035,93,-81
12837036,6,-95
12837037,6,-73
12837038,15,-87
12837039,6,-97
12837040,93,-71
12837041,93,-98
12837042,93,-78
12837043,6,-92
12837044,6,-76
12837045,15,-81
12837046,15,-93
12837047,15,-86
12837048,93,-87
12837049,93,-67
12837050,93,-95
12837051,6,-76
12837052,6,-85
12837053,6,-71
12837054,15,-81
12837055,93,-54
12837056,93,-93
12837057,93,-85
12837058,6,-90
12837059,6,-76
12837060,6,-100
12837061,15,-87
12837062,15,-85
12837063,15,-86
12837064,93,-79
12837065,93,-70
12837066,93,-84
12837067,6,-87
12837068,15,-70
12837069,15,-75
12837070,93,-54
12837071,93,-83
12837072,6,-96
12837073,6,-89
12837074,6,-88
12837075,6,-74
12837076,15,-70
12837077,15,-97
12837078,15,-69
12837079,93,-54
12837080,93,-79
12837081,6,-86
12837082,6,-95
12837083,15,-82
12837084,15,-90
12837085,93,-55
12837086,6,-82
12837087,6,-87
12837088,6,-97
12837089,6,-76
12837090,15,-86
12837091,15,-73
12837092,93,-70
12837093,93,-78
12837094,93,-84
12837095,6,-85
12837096,6,-86
12837097,15,-71
12837098,15,-86
12837099,93,-81
12837100,93,-87
12837101,6,-93
12837102,6,-70
12837103,6,-87
12837104,15,-72
12837105,93,-54
12837106,6,-74
