,-90
12834649,6,-89
12834650,6,-68
12834651,15,-76
12834652,15,-104
12834653,73,-87
12834654,93,-87
12834655,93,-92
12834656,93,-67
12834657,15,-85
12834658,15,-78
12834659,6,-73
12834660,93,-51
12834661,6,-69
12834662,6,-86
12834663,15,-76
12834664,15,-73
12834665,15,-100
12834666,73,-85
12834667,93,-94
12834668,93,-66
12834669,6,-74
12834670,6,-92
12834671,6,-96
12834672,15,-90
12834673,15,-87
12834674,15,-85
12834675,93,-90
12834676,93,-51
12834677,6,-68
12834678,6,-85
12834679,15,-74
12834680,15,-89
12834681,15,-76
12834682,73,-91
12834683,93,-94
12834684,93,-67
12834685,6,-76
12834686,6,-84
12834687,6,-72
12834688,15,-68
12834689,15,-76
12834690,93,-50
12834691,93,-80
12834692,6,-100
12834693,6,-90
12834694,6,-85
12834695,6,-99
12834696,6,-93
12834697,15,-88
12834698,15,-88
12834699,15,-81
12834700,93,-68
12834701,93,-81
12834702,93,-98
12834703,6,-95
12834704,15,-79
12834705,15,-73
12834706,93,-50
12834707,93,-91
12834708,93,-89
12834709,6,-75
12834710,15,-77
12834711,15,-74
12834712,93,-84
12834713,6,-71
12834714,6,-88
12834715,6,-84
12834716,15,-69
12834717,15,-94
12834718,93,-90
12834719,93,-93
12834720,93,-50
12834721,6,-91
12834722,6,-99
12834723,6,-97
12834724,15,-64
12834725,93,-51
12834726,93,-107
12834727,6,-88
12834728,15,-68
12834729,93,-83
12834730,93,-86
12834731,93,-67
12834732,6,-95
12834733,6,-69
12834734,15,-74
12834735,93,-89
12834736,93,-78
12834737,93,-50
12834738,6,-72
12834739,6,-77
12834740,6,-88
12834741,15,-64
12834742,15,-83
12834743,93,-51
12834744,6,-78
12834745,6,-85
12834746,15,-85
12834747,15,-89
12834748,15,-68
12834749,93,-75
12834750,93,-75
12834751,6,-86
12834752,6,-89
12834753,6,-73
12834754,15,-79
12834755,15,-80
12834756,93,-51
12834757,6,-80
12834758,6,-97
12834759,15,-75
12834760,15,-67
12834761,93,-68
12834762,93,-92
12834763,6,-88
12834764,6,-90
12834765,6,-79
12834766,15,-81
12834767,73,-87
12834768,93,-53
12834769,93,-87
12834770,6,-92
12834771,6,-90
12834772,15,-64
12834773,15,-87
12834774,93,-68
12834775,93,-90
12834776,93,-93
12834777,6,-76
12834778,6,-82
12834779,6,-77
12834780,15,-95
12834781,15,-64
12834782,93,-52
12834783,6,-89
12834784,6,-90
12834785,6,-70
12834786,6,-74
12834787,6,-87
12834788,15,-88
12834789,15,-67
12834790,73,-103
12834791,93,-90
12834792,93,-66
12834793,93,-94
12834794,6,-82
12834795,6,-87
12834796,6,-75
12834797,15,-81
12834798,93,-52
12834799,6,-94
12834800,15,-70
12834801,15,-65
12834802,93,-76
12834803,93,-51
12834804,93,-79
12834805,93,-89
12834806,6,-79
12834807,6,-86
12834808,15,-65
12834809,93,-94
12834810,93,-51
12834811,93,-94
12834812,6,-79
12834813,6,-85
12834814,6,-97
12834815,6,-86
12834816,15,-79
12834817,15,-89
12834818,93,-52
12834819,6,-85
12834820,6,-87
12834821,6,-85
12834822,6,-70
12834823,93,-82
12834824,93,-79
12834825,93,-65
12834826,15,-65
12834827,15,-86
12834828,93,-52
12834829,6,-90
12834830,6,-74
12834831,6,-88
12834832,6,-75
12834833,15,-101
12834834,15,-65
12834835,93,-90
12834836,93,-94
12834837,93,-90
12834838,6,-71
12834839,6,-87
12834840,6,-98
12834841,93,-66
12834842,6,-86
12834843,15,-71
12834844,15,-66
12834845,93,-52
12834846,6,-85
12834847,6,-88
12834848,15,-79
12834849,15,-79
12834850,93,-76
12834851,93,-92
12834852,6,-74
12834853,6,-94
12834854,6,-87
12834855,6,-91
12834856,15,-100
12834857,15,-88
12834858,93,-68
12834859,6,-88
12834860,6,-98
12834861,6,-88
12834862,6,-85
12834863,15,-79
12834864,93,-83
12834865,93,-90
12834866,93,-85
12834867,93,-51
12834868,6,-75
12834869,6,-81
12834870,6,-90
12834871,6,-77
12834872,15,-90
12834873,93,-51
12834874,6,-74
12834875,6,-77
12834876,15,-88
12834877,93,-67
12834878,93,-97
12834879,93,-78
12834880,6,-87
12834881,15,-73
12834882,73,-86
12834883,93,-64
12834884,93,-89
12834885,93,-79
12834886,6,-97
12834887,6,-77
12834888,15,-74
12834889,15,-72
12834890,15,-88
12834891,93,-85
12834892,93,-83
12834893,93,-50
12834894,6,-94
12834895,6,-83
12834896,6,-84
12834897,6,-73
12834898,6,-83
12834899,15,-101
12834900,15,-91
12834901,93,-50
12834902,6,-97
12834903,6,-72
12834904,6,-81
12834905,6,-86
12834906,6,-100
12834907,93,-85
12834908,93,-50
12834909,6,-94
12834910,93,-76
12834911,93,-66
12834912,6,-85
12834913,6,-71
12834914,6,-73
12834915,15,-75
12834916,15,-72
12834917,93,-82
12834918,93,-68
12834919,93,-97
12834920,6,-85
12834921,6,-96
12834922,6,-85
12834923,15,-90
12834924,15,-66
12834925,93,-52
12834926,6,-74
12834927,6,-88
12834928,15,-87
12834929,15,-67
12834930,93,-90
12834931,93,-90
12834932,93,-93
12834933,93,-52
12834934,6,-82
12834935,6,-79
12834936,15,-101
12834937,15,-91
12834938,15,-80
12834939,15,-78
12834940,93,-50
12834941,15,-72
12834942,15,-78
12834943,6,-72
12834944,93,-78
12834945,93,-64
12834946,93,-90
12834947,6,-91
12834948,15,-85
12834949,15,-68
12834950,93,-68
12834951,6,-89
12834952,6,-95
12834953,15,-89
12834954,15,-67
12834955,73,-89
12834956,93,-50
12834957,93,-89
12834958,93,-90
12834959,93,-78
12834960,6,-76
12834961,6,-86
12834962,6,-75
12834963,15,-79
12834964,15,-89
12834965,93,-51
12834966,6,-72
12834967,6,-79
12834968,15,-72
12834969,93,-81
12834970,93,-67
12834971,6,-82
12834972,6,-73
12834973,6,-84
12834974,6,-88
12834975,15,-64
12834976,93,-60
12834977,93,-90
12834978,6,-77
12834979,15,-72
12834980,15,-68
12834981,93,-86
12834982,6,-95
12834983,6,-85
12834984,6,-89
12834985,15,-96
12834986,15,-79
12834987,93,-81
12834988,93,-90
12834989,93,-50
12834990,6,-87
12834991,6,-82
12834992,6,-87
12834993,15,-81
12834994,15,-89
12834995,93,-51
12834996,6,-90
12834997,15,-88
12834998,15,-64
12834999,93,-100
12835000,93,-96
12835001,93,-50
12835002,6,-72
12835003,15,-67
12835004,15,-88
12835005,93,-51
12835006,6,-74
12835007,6,-80
12835008,6,-80
12835009,15,-64
12835010,93,-67
12835011,6,-85
12835012,6,-72
12835013,15,-67
12835014,93,-50
12835015,6,-75
12835016,6,-82
12835017,15,-79
12835018,93,-81
12835019,93,-87
12835020,93,-67
12835021,6,-92
12835022,15,-87
12835023,15,-67
12835024,15,-87
12835025,6,-70
12835026,93,-64
12835027,93,-79
12835028,6,-81
12835029,15,-83
12835030,93,-81
12835031,93,-85
12835032,93,-50
12835033,6,-76
12835034,15,-83
12835035,93,-51
12835036,93,-91
12835037,6,-81
12835038,15,-94
12835039,15,-79
12835040,93,-66
12835041,6,-88
12835042,6,-71
12835043,15,-74
12835044,15,-73
12835045,15,-91
12835046,93,-52
12835047,6,-88
12835048,6,-67
12835049,15,-80
12835050,93,-90
12835051,93,-85
12835052,6,-79
12835053,6,-92
12835054,6,-71
12835055,93,-51
12835056,6,-75
12835057,6,-68
12835058,15,-89
12835059,15,-99
12835060,15,-88
12835061,93,-90
12835062,93,-51
12835063,93,-89
12835064,93,-91
12835065,6,-99
12835066,6,-78
12835067,6,-91
12835068,6,-87
12835069,15,-84
12835070,15,-72
12835071,93,-68
12835072,6,-76
12835073,6,-87
