Timestamp,Milliseconds,X,Y,Z,cos,headingAccuracy
2020-07-01 19:13:30,1,-0.327582,0.046866,0.471176,0.81761,-1.0
2020-07-01 19:13:30,10,-0.326676,0.046104,0.472179,0.817437,-1.0
2020-07-01 19:13:30,20,-0.326628,0.046264,0.472193,0.817438,-1.0
2020-07-01 19:13:30,30,-0.326596,0.04643,0.472183,0.817448,-1.0
2020-07-01 19:13:30,40,-0.326521,0.046521,0.472224,0.817449,-1.0
2020-07-01 19:13:30,50,-0.326407,0.046561,0.472349,0.81742,-1.0
2020-07-01 19:13:30,60,-0.326298,0.046614,0.47248,0.817384,-1.0
2020-07-01 19:13:30,70,-0.326207,0.046708,0.472591,0.817351,-1.0
2020-07-01 19:13:30,80,-0.326146,0.046864,0.472668,0.817322,-1.0
2020-07-01 19:13:31,90,-0.32611,0.047057,0.472686,0.817315,-1.0
2020-07-01 19:13:31,100,-0.326092,0.047271,0.47271,0.817297,-1.0
2020-07-01 19:13:31,111,-0.326079,0.047445,0.472734,0.817278,-1.0
2020-07-01 19:13:31,120,-0.32606,0.047546,0.472789,0.817248,-1.0
2020-07-01 19:13:31,130,-0.326025,0.047582,0.472841,0.817229,-1.0
2020-07-01 19:13:31,140,-0.326008,0.047635,0.472861,0.817221,-1.0
2020-07-01 19:13:31,150,-0.326014,0.047737,0.472867,0.817209,-1.0
2020-07-01 19:13:31,160,-0.326059,0.047895,0.472852,0.817191,-1.0
2020-07-01 19:13:31,170,-0.326144,0.048127,0.472786,0.817182,-1.0
2020-07-01 19:13:31,180,-0.326271,0.04845,0.472695,0.817164,-1.0
2020-07-01 19:13:31,190,-0.326122,0.048418,0.472494,0.817342,-1.0
2020-07-01 19:13:31,200,-0.326318,0.048934,0.472352,0.817315,-1.0
2020-07-01 19:13:31,211,-0.326472,0.049454,0.472244,0.817285,-1.0
2020-07-01 19:13:31,220,-0.326597,0.049936,0.472158,0.817255,-1.0
2020-07-01 19:13:31,230,-0.326697,0.050379,0.472098,0.817223,-1.0
2020-07-01 19:13:31,240,-0.326752,0.050788,0.47203,0.817214,-1.0
2020-07-01 19:13:31,250,-0.326773,0.051132,0.47197,0.81722,-1.0
